age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
38,M,487,En Couple,3,false,2951 II 77
50,M,590,En Couple,1,false,1453 CD 31
54,F,558,En Couple,0,false,6099 TQ 49
35,M,423,En Couple,0,false,3352 BH 16
43,M,904,En Couple,4,false,8550 VG 50
64,M,244,Célibataire,0,false,1643 LP 86
22,M,539,Célibataire,0,false,561 OH 15
79,M,1089,En Couple,0,false,6444 IR 63
82,M,971,En Couple,4,true,9376 XS 20
23,M,499,En Couple,3,true,5773 RY 55
30,M,432,Seule,2,false,1368 YP 98
62,F,475,En Couple,3,false,8199 DT 90
35,F,421,En Couple,3,false,1064 SX 18
19,M,556,En Couple,4,false,9790 KV 63
27,F,598,En Couple,2,false,5801 KY 79
50,M,543,En Couple,3,false,6722 XC 54
41,M,401,En Couple,3,false,7024 KM 46
25,M,480,En Couple,0,false,9849 FJ 53
34,F,1301,En Couple,1,false,7353 FH 24
34,M,596,En Couple,3,false,7864 VL 73
42,F,216,Célibataire,0,false,7803 ZV 11
21,M,568,En Couple,2,false,4169 XL 57
31,F,480,Célibataire,0,false,7352 XT 62
51,F,524,En Couple,2,true,388 EL 90
70,M,237,En Couple,2,true,9867 LE 24
41,M,447,Célibataire,0,false,7640 FX 47
21,M,419,En Couple,1,true,1897 AN 41
29,F,237,En Couple,3,true,2191 HS 56
24,M,485,Célibataire,0,false,1427 WU 75
25,M,411,Célibataire,0,false,9775 PA 30
47,M,463,En Couple,0,false,9792 HR 41
46,F,?,Célibataire,0,false,870 PF 98
22,M,1393,En Couple,0,false,7349 BF 24
39,M,546,En Couple,0,true,6827 XU 29
50,M,1336,En Couple,1,false,942 JH 84
27,M,580,En Couple,2,false,1425 EX 70
22,M,578,Célibataire,0,false,8131 WP 38
82,M,171,En Couple,1,false,8837 AL 30
37,M,197,Célibataire,0,false,9110 DZ 48
46,M,1283,Célibataire,0,false,1773 QI 77
34,M,849,En Couple,1,true,2225 ER 79
40,F,482,Célibataire,0,false,8744 EX 61
55,M,1070,En Couple,1,false,3947 RD 45
69,M,859,En Couple,2,true,9474 NH 51
25,F,799,Célibataire,0,false,1201 BC 13
55,M,562,Seule,3,false,3438 ZL 65
84,M,1220,En Couple,0,false,2478 ZB 23
59,M,536,En Couple,1,false,7020 LB 89
55,M,410,En Couple,2,false,757 IB 56
55,M,506,En Couple,0,false,7459 BG 68
39,M,1204,En Couple,0,true,5171 DV 31
49,M,1203,En Couple,3,false,8085 WB 30
18,F,173,Célibataire,0,false,5120 IA 33
18,M,181,En Couple,1,false,4703 TV 81
21,Masculin,1230,Marié(e),3,true,7500 KV 61
57,M,587,Célibataire,0,false,6471 KS 40
62,M,439,En Couple,0,false,4372 CQ 67
59,M,446,Célibataire,0,false,7150 QG 21
20,M,180,En Couple,2,false,7483 HT 46
27,M,819,Célibataire,0,false,3070 UC 63
40,M,453,En Couple,3,false,8419 TV 29
